slug,memo
file_timestamp,20260503013446
HOME,😎👍🏼
register,20260423
2391,R5.3 異物クレーム発生！注意
4123,R5.3 異物クレーム発生！注意
6616,🥺
4751,年月マーク周辺にショート
7122,ラップはガチガチに巻く事
0936,ラップはガチガチに巻く事
1499,3プレート
1501,3プレート
1168,56A-2 100個入
5667,23/12/20 変形は良品
0246,1500個
5959,サンプル4
10145,サンプル4
2172,"サンクレ80
700個"
8083,"1300袋
サンクレ3000個"
2173,"サンクレ80
500個"
7626,ダンボール　アナトツテ袋とって
6764,800475-2 ハリステナー3Aセット（ハザードマーク）
8425,"止める・呼ぶ・待つ
非常停止・アンドン
水分・塩分
歩行帯・リフト・人
労災・予測
焦るな、急ぐな、手を抜くな、守るルールが身を守る"
9264,ゲート上
10650,0.02x1060x1100
10826,積載1080
0062,　
1178,八角形
1530,56a 480個
1484,56a 224
8121,1700個
